name,short_name,floor
CCH事務局,,Floor1
教員室 122,122,Floor1
教員室 123,123,Floor1
教員室 124,124,Floor1
教員室 125,125,Floor1
教員室 126,126,Floor1
教員室 127,127,Floor1
教員室 128,128,Floor1
教員室 129,129,Floor1
教員室 130,130,Floor1
教員室 131,131,Floor1
教員室 132,132,Floor1
教員室 133,133,Floor1
教員室 134,134,Floor1
教員室 135,135,Floor1
研究実験室 143,143,Floor1
研究実験室 144,144,Floor1
研究実験室 145,145,Floor1
研究実験室 146,146,Floor1
研究実験室 147,147,Floor1
研究実験室 148,148,Floor1
研究実験室 149,149,Floor1
研究実験室 150,150,Floor1
研究実験室 151,151,Floor1
研究実験室 152,152,Floor1
研究実験室 153,153,Floor1
研究実験室 154,154,Floor1
研究実験室 155,155,Floor1
アトリエ,,Floor1
大学生協食堂,,Floor1
学科室 221,221,Floor2
教員室 222,222,Floor2
教員室 223,223,Floor2
教員室 224,224,Floor2
教員室 225,225,Floor2
教員室 226,226,Floor2
教員室 227,227,Floor2
教員室 228,228,Floor2
教員室 229,229,Floor2
教員室 230,230,Floor2
教員室 231,231,Floor2
教員室 232,232,Floor2
教員室 233,233,Floor2
教員室 234,234,Floor2
教員室 235,235,Floor2
研究実験室 243,243,Floor2
研究実験室 244,244,Floor2
研究実験室 245,245,Floor2
研究実験室 246,246,Floor2
研究実験室 247,247,Floor2
研究実験室 248,248,Floor2
研究実験室 249,249,Floor2
研究実験室 250,250,Floor2
研究実験室 251,251,Floor2
研究実験室 252,252,Floor2
研究実験室 253,253,Floor2
研究実験室 254,254,Floor2
研究実験室 255,255,Floor2
大学生協購買,,Floor2
学科室 321,321,Floor3
教員室 322,322,Floor3
教員室 323,323,Floor3
教員室 324,324,Floor3
教員室 325,325,Floor3
教員室 326,326,Floor3
教員室 327,327,Floor3
教員室 328,328,Floor3
教員室 329,329,Floor3
教員室 330,330,Floor3
教員室 331,331,Floor3
教員室 332,332,Floor3
教員室 333,333,Floor3
教員室 334,334,Floor3
教員室 335,335,Floor3
研究実験室 342,342,Floor3
研究実験室 343,343,Floor3
研究実験室 344,344,Floor3
研究実験室 345,345,Floor3
研究実験室 346,346,Floor3
研究実験室 347,347,Floor3
研究実験室 348,348,Floor3
研究実験室 349,349,Floor3
研究実験室 350,350,Floor3
研究実験室 351,351,Floor3
研究実験室 352,352,Floor3
研究実験室 353,353,Floor3
研究実験室 354,354,Floor3
研究実験室 355,355,Floor3
コンピュータ教室 363,363,Floor3
コンピュータ教室 364,364,Floor3
コンピュータ教室 365,365,Floor3
エレクトロニクス工房,E工房,Floor3
トレーニングルーム,,Floor3
ミュージアム,,Floor3
ライブラリ,,Floor3
体育館,,Floor3
医務室,,Floor3
大講義室,,Floor3
工房,,Floor3
心理学実験室,,Floor3
映像音響スタジオ,,Floor3
社会連携センター,,Floor3
一般応接室 422,422,Floor4
教員室 423,423,Floor4
教員室 424,424,Floor4
教員室 425,425,Floor4
教員室 426,426,Floor4
教員室 427,427,Floor4
教員室 428,428,Floor4
教員室 429,429,Floor4
教員室 431,431,Floor4
教員室 432,432,Floor4
教員室 433,433,Floor4
教員室 434,434,Floor4
教員室 435,435,Floor4
コンピュータ教室 483,483,Floor4
小講義室 484,484,Floor4
就職支援室 485,485,Floor4
中講義室 493,493,Floor4
C&D 494,494,Floor4
C&D 495,495,Floor4
M401,M401,Floor4
M402,M402,Floor4
S-1,S-1,Floor4
S-2,S-2,Floor4
S-3,S-3,Floor4
S-4,S-4,Floor4
S-5,S-5,Floor4
S-6,S-6,Floor4
S-7,S-7,Floor4
S-8,S-8,Floor4
S-9,S-9,Floor4
S-10,S-10,Floor4
S-11,S-11,Floor4
S-12,S-12,Floor4
S-13,S-13,Floor4
S-14,S-14,Floor4
S-15,S-15,Floor4
メタ学習ラボ,,Floor4
事務局,,Floor4
学長室,,Floor4
証明書発行機,,Floor4
講堂,,Floor4
教員室 522,522,Floor5
教員室 523,523,Floor5
教員室 524,524,Floor5
教員室 525,525,Floor5
教員室 526,526,Floor5
教員室 527,527,Floor5
教員室 528,528,Floor5
教員室 529,529,Floor5
非常勤講師室 531,531,Floor5
教員室 532,532,Floor5
教員室 533,533,Floor5
教員室 534,534,Floor5
教員室 535,535,Floor5
学生相談室 536,536,Floor5
小講義室 583,583,Floor5
小講義室 584,584,Floor5
小講義室 585,585,Floor5
中講義室 593,593,Floor5
中講義室 594,594,Floor5
中講義室 595,595,Floor5
M501,M501,Floor5
M502,M502,Floor5
サークル室1,サークル室1,Floor5
サークル室10,サークル室10,Floor5
サークル室11,サークル室11,Floor5
サークル室12,サークル室12,Floor5
サークル室13,サークル室13,Floor5
サークル室14,サークル室14,Floor5
サークル室15,サークル室15,Floor5
サークル室2,サークル室2,Floor5
サークル室3,サークル室3,Floor5
サークル室4,サークル室4,Floor5
サークル室5,サークル室5,Floor5
サークル室6,サークル室6,Floor5
サークル室7,サークル室7,Floor5
サークル室8,サークル室8,Floor5
サークル室9,サークル室9,Floor5
教員室 R601,R601,Floor6
前期院生室 R602,R602,Floor6
教員室 R603,R603,Floor6
教員室 R604,R604,Floor6
教員室 R605,R605,Floor6
前期院生室 R606,R606,Floor6
教員室 R607,R607,Floor6
